dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,transaction_type,payment_instrument_type,transaction_count,transaction_amount
aggregated,insurance,,india,state,arunachal-pradesh,2023,3,1688149800000,1695839400000,True,SUCCESS,1697612231304,data\aggregated\insurance\country\india\state\arunachal-pradesh\2023\3.json,Insurance,TOTAL,718,1904786.0
aggregated,insurance,,india,state,arunachal-pradesh,2023,4,1696098600000,1703701800000,True,SUCCESS,1706092885502,data\aggregated\insurance\country\india\state\arunachal-pradesh\2023\4.json,Insurance,TOTAL,809,2105408.0
aggregated,insurance,,india,state,arunachal-pradesh,2024,1,1704047400000,1711564200000,True,SUCCESS,1714727767490,data\aggregated\insurance\country\india\state\arunachal-pradesh\2024\1.json,Insurance,TOTAL,1100,2419700.0
aggregated,insurance,,india,state,arunachal-pradesh,2024,2,1711909800000,1719513000000,True,SUCCESS,1722517899715,data\aggregated\insurance\country\india\state\arunachal-pradesh\2024\2.json,Insurance,TOTAL,1147,2353015.0
aggregated,insurance,,india,state,arunachal-pradesh,2024,3,1719792000000,1727481600000,True,SUCCESS,1739974425132,data\aggregated\insurance\country\india\state\arunachal-pradesh\2024\3.json,Insurance,TOTAL,842,1951385.0
aggregated,insurance,,india,state,arunachal-pradesh,2024,4,1727740800000,1735344000000,True,SUCCESS,1739974647313,data\aggregated\insurance\country\india\state\arunachal-pradesh\2024\4.json,Insurance,TOTAL,999,2359472.0
aggregated,insurance,,india,state,assam,2020,2,1585679400000,1593282600000,True,SUCCESS,1692610815670,data\aggregated\insurance\country\india\state\assam\2020\2.json,Insurance,TOTAL,978,210034.0
aggregated,insurance,,india,state,assam,2020,3,1593541800000,1601231400000,True,SUCCESS,1692610867156,data\aggregated\insurance\country\india\state\assam\2020\3.json,Insurance,TOTAL,2206,599450.0
aggregated,insurance,,india,state,assam,2020,4,1601490600000,1609093800000,True,SUCCESS,1692610920071,data\aggregated\insurance\country\india\state\assam\2020\4.json,Insurance,TOTAL,2413,1806801.0
aggregated,insurance,,india,state,assam,2021,1,1609439400000,1616869800000,True,SUCCESS,1692610972478,data\aggregated\insurance\country\india\state\assam\2021\1.json,Insurance,TOTAL,3167,2334419.0
aggregated,insurance,,india,state,assam,2021,2,1617215400000,1624818600000,True,SUCCESS,1692611024509,data\aggregated\insurance\country\india\state\assam\2021\2.json,Insurance,TOTAL,3265,3008122.0
