dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,rank,registered_users
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,district,medchal malkajgiri,9,1572320
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,district,surat,10,1481391
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,pincode,201301,1,369425
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,pincode,110059,2,300007
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,pincode,560068,3,289417
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,pincode,500072,4,261019
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,pincode,110092,5,248727
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,pincode,122001,6,239679
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,pincode,421302,7,208109
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,pincode,395006,8,198132
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,pincode,110086,9,194575
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,pincode,800001,10,194197
top,user,,india,country,,2019,4,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\4.json,state,maharashtra,1,23745297
top,user,,india,country,,2019,4,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\4.json,state,uttar pradesh,2,17949542
top,user,,india,country,,2019,4,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\4.json,state,karnataka,3,15385416
top,user,,india,country,,2019,4,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\4.json,state,andhra pradesh,4,11757883
top,user,,india,country,,2019,4,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\4.json,state,telangana,5,11220691
top,user,,india,country,,2019,4,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\4.json,state,rajasthan,6,10925031
top,user,,india,country,,2019,4,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\4.json,state,west bengal,7,10885058
top,user,,india,country,,2019,4,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\4.json,state,tamil nadu,8,9620493
top,user,,india,country,,2019,4,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\4.json,state,gujarat,9,9323799
